Tree Species,Quadrant Color,Plot Code,DBH Diameter (cm),Tree Height (Low<50cm; High>50 cm),Number of Egg Masses,Areas of egg masses,Total Area estimate,Estimated number of eggs,Observers,Notes,,,,,,
Red oak,White,4N6,9.8,Low,0,,,,Michael and Carly,,,,,,,0
Red oak,White,4N6,9.8,High,4,D + E + E + D,,,Michael and Carly,,,,,,,
Red oak,White,4N6,6.6,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,4N6,6.6,High,1,D,,,Michael and Carly,,,,,,,
Red oak,White,4N6,11.7,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,4N6,11.7,High,19,C + E + D + D + C + C + E + E + E + E + E + E + D + E + E + D + D + E + D,,,Michael and Carly,,,,,,,
Red oak,White,4N6,12.5,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,4N6,12.5,High,5,E + D + D + C + D,,,Michael and Carly,,,,,,,
Red oak,White,4N6,10.4,Low,1,E,,,Michael and Carly,,,,,,,
Red oak,White,4N6,10.4,High,7,D + D + D + E + E + D + D,,,Michael and Carly,,,,,,,
Red oak ,White,4N6,10.6,Low,0,E,,,Michael and Carly,,,,,,,
Red oak,White,4N6,10.6,High,2,D + D,,,Michael and Carly,,,,,,,
White pine,White,4N6,None,Low,0,,,,Michael and Carly,Some pinea present in plot but all were dead,,,,,,
White pine,White,4N6,None,High,0,,,,Michael and Carly,Some pinea present in plot but all were dead,,,,,,
White pine,White,PIST,6.2,Low,3,E + E + D,,,Michael and Carly,,,,,,,
White pine,White,PIST,6.2,High,3,D + C + C,,,Michael and Carly,,,,,,,
White pine,White,PIST,5.5,Low,3,E + E + D,,,Michael and Carly,,,,,,,
White pine,White,PIST,5.5,High,1,C,,,Michael and Carly,,,,,,,
Sugar maple,White,ACSA,5.1,Low,0,,,,Michael and Carly,Tree protection,,,,,,
Sugar maple,White,ACSA,5.1,High,0,,,,Michael and Carly,Tree protection,,,,,,
Red oak,White,QURN,10.5,Low,2,D + D,,,Michael and Carly,,,,,,,
Red oak,White,QURN,10.5,High,10,D + D + D + D + D + D + D + D + D + D ,,,Michael and Carly,,,,,,,
Red oak,White,QURN,7.8,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,QURN,7.8,High,18,E + C + E + D + E + E + D + D + D + E + C + E + E + E + D + D + D + D,,,Michael and Carly,,,,,,,
Red oak,White,QURN,6.9,Low,1,D,,,Michael and Carly,,,,,,,
Red oak,White,QURN,6.9,High,0,,,,Michael and Carly,,,,,,,
Red oak,White,QURN,8.2,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,QURN,8.2,High,7,C + C + C + C + C + C + E,,,Michael and Carly,,,,,,,
Red oak,White,QURN,8.9,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,QURN,8.9,High,9,E + D  + C + D + D + D + D + D + D,,,Michael and Carly,,,,,,,
Red oak,White,QURN,9.9,Low,2,D + D,,,Michael and Carly,,,,,,,
Red oak,White,QURN,9.9,High,18,C + D + D + D + D + D + C + C + C + C + E + E + C + C + D + C + D + D,,,Michael and Carly,,,,,,,
White pine,White,4NR7,1.9,Low,1,D,,,Michael and Carly,,,,,,,
White pine,White,4NR7,1.9,High,2,E + D,,,Michael and Carly,,,,,,,
White pine,White,4NR7,2,Low,0,,,,Michael and Carly,,,,,,,
White pine,White,4NR7,2,High,1,E,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,8.8,Low,0,,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,8.8,High,9,D + D + D + D + D + E + D + E + E,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,5.4,Low,2,E + D,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,5.4,High,3,E + D + D + D,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,6.7,Low,1,E,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,6.7,High,8,D + D + E + D + E + E + E + E,,,Michael and Carly,,,,,,,
Red oak,Red,QURN,19.5,Low,0,,,,Michael and Carly,,,,,,,
Red,Red,QURN,19.5,High,3,D + D + D,,,Michael and Carly,,,,,,,
Red oak,Red,QURN,14.6,Low,0,,,,Michael and Carly,,,,,,,
Red oak,Red,QURN,14.6,High,8,D + D + C + B D + C + C + C,,,Michael and Carly,,,,,,,
Red oak,Red,QURN,10.6,Low,0,,,,Michael and Carly,,,,,,,
Red oak,Red,QURN,10.6,High,19,D + D + D + C + B + D + E + C + C + C + C + D + D + D + D + D + D + E + B,,,Michael and Carly,,,,,,,
White pine,White,12N,1.9,Low,4,D + E + D + C,,,Michael and Carly,,,,,,,
White pine,White,12N,1.9,High,3,D + C + C,,,Michael and Carly,,,,,,,
White pine,White,12N,1.9,Low,0,,,,Michael and Carly,,,,,,,
White pine,White,12N,1.9,High,0,,,,Michael and Carly,,,,,,,
White pine,White,12N,2.8,Low,0,,,,Michael and Carly,,,,,,,
White pine,White,12N,2.8,High,1,C,,,Michael and Carly,,,,,,,
White pine,White,12N,4.1,Low,1,B,,,Michael and Carly,,,,,,,
