"","tree_species","quadrant_color","plot_code","dbh_diameter_cm","tree_height_low_50cm_high_50_cm","number_of_egg_masses","areas_of_egg_masses","total_area_estimate","estimated_number_of_eggs","observers","notes"
"1","Red oak","White","4N6","9.8","Low",0,"0",NA,NA,"Michael and Carly","0"
"2","Red oak","White","4N6","9.8","High",4,"D + E + E + D",NA,NA,"Michael and Carly","0"
"3","Red oak","White","4N6","6.6","Low",0,"0",NA,NA,"Michael and Carly","0"
"4","Red oak","White","4N6","6.6","High",1,"D",NA,NA,"Michael and Carly","0"
"5","Red oak","White","4N6","11.7","Low",0,"0",NA,NA,"Michael and Carly","0"
"6","Red oak","White","4N6","11.7","High",19,"C + E + D + D + C + C + E + E + E + E + E + E + D + E + E + D + D + E + D",NA,NA,"Michael and Carly","0"
"7","Red oak","White","4N6","12.5","Low",0,"0",NA,NA,"Michael and Carly","0"
"8","Red oak","White","4N6","12.5","High",5,"E + D + D + C + D",NA,NA,"Michael and Carly","0"
"9","Red oak","White","4N6","10.4","Low",1,"E",NA,NA,"Michael and Carly","0"
"10","Red oak","White","4N6","10.4","High",7,"D + D + D + E + E + D + D",NA,NA,"Michael and Carly","0"
"11","Red oak ","White","4N6","10.6","Low",0,"E",NA,NA,"Michael and Carly","0"
"12","Red oak","White","4N6","10.6","High",2,"D + D",NA,NA,"Michael and Carly","0"
"13","White pine","White","4N6","NA","Low",0,"0",NA,NA,"Michael and Carly","Some pinea present in plot but all were dead"
"14","White pine","White","4N6","NA","High",0,"0",NA,NA,"Michael and Carly","Some pinea present in plot but all were dead"
"15","White pine","White","PIST","6.2","Low",3,"E + E + D",NA,NA,"Michael and Carly","0"
"16","White pine","White","PIST","6.2","High",3,"D + C + C",NA,NA,"Michael and Carly","0"
"17","White pine","White","PIST","5.5","Low",3,"E + E + D",NA,NA,"Michael and Carly","0"
"18","White pine","White","PIST","5.5","High",1,"C",NA,NA,"Michael and Carly","0"
"19","Sugar maple","White","ACSA","5.1","Low",0,"0",NA,NA,"Michael and Carly","Tree protection"
"20","Sugar maple","White","ACSA","5.1","High",0,"0",NA,NA,"Michael and Carly","Tree protection"
"21","Red oak","White","QURN","10.5","Low",2,"D + D",NA,NA,"Michael and Carly","0"
"22","Red oak","White","QURN","10.5","High",10,"D + D + D + D + D + D + D + D + D + D",NA,NA,"Michael and Carly","0"
"23","Red oak","White","QURN","7.8","Low",0,"0",NA,NA,"Michael and Carly","0"
"24","Red oak","White","QURN","7.8","High",18,"E + C + E + D + E + E + D + D + D + E + C + E + E + E + D + D + D + D",NA,NA,"Michael and Carly","0"
"25","Red oak","White","QURN","6.9","Low",1,"D",NA,NA,"Michael and Carly","0"
"26","Red oak","White","QURN","6.9","High",0,"0",NA,NA,"Michael and Carly","0"
"27","Red oak","White","QURN","8.2","Low",0,"0",NA,NA,"Michael and Carly","0"
"28","Red oak","White","QURN","8.2","High",7,"C + C + C + C + C + C + E",NA,NA,"Michael and Carly","0"
"29","Red oak","White","QURN","8.9","Low",0,"0",NA,NA,"Michael and Carly","0"
"30","Red oak","White","QURN","8.9","High",9,"E + D  + C + D + D + D + D + D + D",NA,NA,"Michael and Carly","0"
"31","Red oak","White","QURN","9.9","Low",2,"D + D",NA,NA,"Michael and Carly","0"
"32","Red oak","White","QURN","9.9","High",18,"C + D + D + D + D + D + C + C + C + C + E + E + C + C + D + C + D + D",NA,NA,"Michael and Carly","0"
"33","White pine","White","4NR7","1.9","Low",1,"D",NA,NA,"Michael and Carly","0"
"34","White pine","White","4NR7","1.9","High",2,"E + D",NA,NA,"Michael and Carly","0"
"35","White pine","White","4NR7","2","Low",0,"0",NA,NA,"Michael and Carly","0"
"36","White pine","White","4NR7","2","High",1,"E",NA,NA,"Michael and Carly","0"
"37","Red oak","Yellow","4N6","8.8","Low",0,"0",NA,NA,"Michael and Carly","0"
"38","Red oak","Yellow","4N6","8.8","High",9,"D + D + D + D + D + E + D + E + E",NA,NA,"Michael and Carly","0"
"39","Red oak","Yellow","4N6","5.4","Low",2,"E + D",NA,NA,"Michael and Carly","0"
"40","Red oak","Yellow","4N6","5.4","High",3,"E + D + D + D",NA,NA,"Michael and Carly","0"
"41","Red oak","Yellow","4N6","6.7","Low",1,"E",NA,NA,"Michael and Carly","0"
